source,target,type,id,label,weight
92,139,Directed,0,,4
92,107,Directed,1,,79
92,74,Directed,2,,1
92,124,Directed,3,,20
63,92,Directed,4,,1
139,92,Directed,5,,7
154,92,Directed,6,,18
124,92,Directed,7,,13
122,92,Directed,8,,6
105,92,Directed,9,,11
41,92,Directed,10,,3
92,79,Directed,11,,1
92,107,Directed,12,,56
92,34,Directed,13,,24
92,124,Directed,14,,25
92,2,Directed,15,,1
27,92,Directed,16,,1
148,92,Directed,17,,1
153,92,Directed,18,,4
42,92,Directed,19,,1
89,92,Directed,20,,1
34,92,Directed,21,,15
124,92,Directed,22,,5
122,92,Directed,23,,4
9,92,Directed,24,,2
105,92,Directed,25,,3
150,92,Directed,26,,8
92,142,Directed,27,,1
92,101,Directed,28,,7
92,130,Directed,29,,5
92,47,Directed,30,,1
92,129,Directed,31,,6
92,87,Directed,32,,1
92,21,Directed,33,,1
92,82,Directed,34,,1
92,160,Directed,35,,1
92,107,Directed,36,,58
92,121,Directed,37,,1
92,29,Directed,38,,1
92,144,Directed,39,,4
92,124,Directed,40,,22
101,92,Directed,41,,3
130,92,Directed,42,,3
129,92,Directed,43,,3
119,92,Directed,44,,7
146,92,Directed,45,,3
33,92,Directed,46,,3
138,92,Directed,47,,1
88,92,Directed,48,,1
125,92,Directed,49,,14
11,92,Directed,50,,7
144,92,Directed,51,,1
124,92,Directed,52,,10
30,92,Directed,53,,2
105,92,Directed,54,,16
92,36,Directed,55,,1
92,99,Directed,56,,1
92,12,Directed,57,,1
92,76,Directed,58,,2
92,97,Directed,59,,1
92,93,Directed,60,,1
92,107,Directed,61,,97
92,23,Directed,62,,1
92,117,Directed,63,,1
92,34,Directed,64,,1
92,124,Directed,65,,42
63,92,Directed,66,,2
147,92,Directed,67,,2
6,92,Directed,68,,2
64,92,Directed,69,,1
72,92,Directed,70,,1
89,92,Directed,71,,3
44,92,Directed,72,,1
34,92,Directed,73,,1
124,92,Directed,74,,28
65,92,Directed,75,,2
71,92,Directed,76,,12
155,92,Directed,77,,17
134,92,Directed,78,,14
92,53,Directed,79,,1
92,107,Directed,80,,33
92,34,Directed,81,,3
92,124,Directed,82,,1
147,92,Directed,83,,16
34,92,Directed,84,,2
124,92,Directed,85,,1
122,92,Directed,86,,1
131,92,Directed,87,,2
135,92,Directed,88,,2
105,92,Directed,89,,5
92,61,Directed,90,,1
92,66,Directed,91,,5
92,40,Directed,92,,1
92,107,Directed,93,,52
92,29,Directed,94,,1
92,124,Directed,95,,20
63,92,Directed,96,,2
147,92,Directed,97,,2
94,92,Directed,98,,1
66,92,Directed,99,,2
119,92,Directed,100,,9
128,92,Directed,101,,3
124,92,Directed,102,,6
15,92,Directed,103,,1
51,92,Directed,104,,3
105,92,Directed,105,,5
143,92,Directed,106,,3
68,92,Directed,107,,1
92,16,Directed,108,,4
92,73,Directed,109,,1
92,85,Directed,110,,1
92,62,Directed,111,,1
92,81,Directed,112,,17
92,127,Directed,113,,1
92,137,Directed,114,,1
92,18,Directed,115,,1
92,107,Directed,116,,160
92,34,Directed,117,,33
92,124,Directed,118,,24
77,92,Directed,119,,50
75,92,Directed,120,,24
63,92,Directed,121,,1
16,92,Directed,122,,2
4,92,Directed,123,,1
81,92,Directed,124,,5
19,92,Directed,125,,1
34,92,Directed,126,,31
124,92,Directed,127,,18
118,92,Directed,128,,2
143,92,Directed,129,,12
92,52,Directed,130,,1
92,96,Directed,131,,6
92,45,Directed,132,,1
92,107,Directed,133,,77
92,124,Directed,134,,5
96,92,Directed,135,,1
108,92,Directed,136,,1
1,92,Directed,137,,1
124,92,Directed,138,,9
105,92,Directed,139,,49
78,92,Directed,140,,2
133,92,Directed,141,,5
92,110,Directed,142,,1
92,54,Directed,143,,53
92,132,Directed,144,,1
92,84,Directed,145,,1
92,5,Directed,146,,1
92,83,Directed,147,,1
92,141,Directed,148,,1
92,90,Directed,149,,1
92,50,Directed,150,,1
92,100,Directed,151,,1
92,107,Directed,152,,176
92,124,Directed,153,,70
92,116,Directed,154,,1
54,92,Directed,155,,16
140,92,Directed,156,,1
115,92,Directed,157,,1
89,92,Directed,158,,2
31,92,Directed,159,,45
124,92,Directed,160,,32
26,92,Directed,161,,14
105,92,Directed,162,,47
143,92,Directed,163,,2
92,139,Directed,164,,5
92,56,Directed,165,,1
92,95,Directed,166,,1
92,107,Directed,167,,28
92,20,Directed,168,,13
139,92,Directed,169,,7
91,92,Directed,170,,2
11,92,Directed,171,,6
20,92,Directed,172,,5
92,145,Directed,173,,1
92,139,Directed,174,,1
92,130,Directed,175,,6
92,46,Directed,176,,1
92,126,Directed,177,,1
92,107,Directed,178,,133
92,102,Directed,179,,6
92,29,Directed,180,,1
92,124,Directed,181,,20
147,92,Directed,182,,1
139,92,Directed,183,,1
130,92,Directed,184,,3
91,92,Directed,185,,24
102,92,Directed,186,,3
124,92,Directed,187,,8
58,92,Directed,188,,2
7,92,Directed,189,,16
41,92,Directed,190,,2
68,92,Directed,191,,3
92,54,Directed,192,,5
92,10,Directed,193,,1
92,107,Directed,194,,89
92,102,Directed,195,,9
92,124,Directed,196,,8
63,92,Directed,197,,3
54,92,Directed,198,,1
0,92,Directed,199,,1
28,92,Directed,200,,1
153,92,Directed,201,,1
91,92,Directed,202,,10
102,92,Directed,203,,1
31,92,Directed,204,,23
124,92,Directed,205,,9
7,92,Directed,206,,1
37,92,Directed,207,,1
105,92,Directed,208,,7
78,92,Directed,209,,10
92,54,Directed,210,,5
92,59,Directed,211,,1
92,152,Directed,212,,1
92,43,Directed,213,,1
92,113,Directed,214,,1
92,62,Directed,215,,1
92,81,Directed,216,,11
92,25,Directed,217,,1
92,107,Directed,218,,98
92,124,Directed,219,,55
54,92,Directed,220,,2
32,92,Directed,221,,1
98,92,Directed,222,,3
8,92,Directed,223,,1
158,92,Directed,224,,1
81,92,Directed,225,,4
48,92,Directed,226,,3
120,92,Directed,227,,1
91,92,Directed,228,,6
31,92,Directed,229,,12
124,92,Directed,230,,37
159,92,Directed,231,,3
105,92,Directed,232,,10
78,92,Directed,233,,1
106,92,Directed,234,,6
92,57,Directed,235,,18
92,60,Directed,236,,1
92,107,Directed,237,,49
92,102,Directed,238,,14
92,67,Directed,239,,8
57,92,Directed,240,,6
89,92,Directed,241,,9
102,92,Directed,242,,3
67,92,Directed,243,,1
131,92,Directed,244,,2
70,92,Directed,245,,4
105,92,Directed,246,,4
92,55,Directed,247,,1
92,17,Directed,248,,16
92,112,Directed,249,,1
92,107,Directed,250,,67
92,3,Directed,251,,1
92,124,Directed,252,,39
17,92,Directed,253,,4
69,92,Directed,254,,20
28,92,Directed,255,,1
153,92,Directed,256,,3
124,92,Directed,257,,27
109,92,Directed,258,,2
105,92,Directed,259,,43
92,86,Directed,260,,1
92,123,Directed,261,,10
92,103,Directed,262,,1
92,149,Directed,263,,11
92,107,Directed,264,,25
92,124,Directed,265,,19
123,92,Directed,266,,2
13,92,Directed,267,,3
149,92,Directed,268,,3
124,92,Directed,269,,9
111,92,Directed,270,,2
105,92,Directed,271,,3
92,17,Directed,272,,3
92,104,Directed,273,,13
92,80,Directed,274,,7
92,156,Directed,275,,1
92,24,Directed,276,,1
92,138,Directed,277,,1
92,38,Directed,278,,18
92,157,Directed,279,,1
92,107,Directed,280,,17
92,124,Directed,281,,18
17,92,Directed,282,,2
104,92,Directed,283,,3
80,92,Directed,284,,5
38,92,Directed,285,,9
151,92,Directed,286,,1
14,92,Directed,287,,3
124,92,Directed,288,,12
49,92,Directed,289,,7
92,27,Directed,290,,7
92,39,Directed,291,,1
92,136,Directed,292,,1
92,114,Directed,293,,1
92,107,Directed,294,,38
92,22,Directed,295,,1
92,124,Directed,296,,6
63,92,Directed,297,,1
69,92,Directed,298,,11
27,92,Directed,299,,5
35,92,Directed,300,,3
124,92,Directed,301,,4
105,92,Directed,302,,12
92,107,Directed,303,,4
92,124,Directed,304,,8
154,92,Directed,305,,2
124,92,Directed,306,,4
105,92,Directed,307,,1
