id,label,modularity_class,degree
0,939904,0,2
1,376000,0,1
2,13700,0,1
3,940000,0,1
4,454200,0,1
5,917000,0,7
6,269100,0,1
7,83800,0,1
8,2130904,0,1
9,311700,0,1
10,449304,0,4
11,407300,0,1
12,468200,0,1
13,1471004,0,1
14,23400,0,1
15,327600,0,1
16,919700,0,1
17,91300,0,1
18,9000,0,27
19,95900,0,1
20,525700,0,1
21,223700,0,1
22,7000,0,1
23,913800,0,10
24,316800,0,1
25,865900,0,1
26,26804,0,3
27,626404,0,1
28,25200,0,1
29,86700,0,1
30,54200,0,7
31,861300,0,15
32,923600,0,1
33,2080704,0,1
34,175200,0,1
35,414900,0,1
36,17604,0,3
37,165704,0,2
38,461900,0,1
39,408200,0,1
40,19404,0,3
41,24800,0,1
42,2004304,0,2
43,626104,0,1
44,562004,0,1
45,472300,0,1
46,115800,0,1
47,581604,0,1
48,926900,0,1
49,1279404,0,1
50,523100,0,1
51,44800,0,1
52,257504,0,1
53,130000,0,1
54,520600,0,1
55,681700,0,24
56,193000,0,1
57,875900,0,1
58,465900,0,2
59,364400,0,1
60,521000,0,1
61,352500,0,4
62,600404,0,2
63,91900,0,1
64,373000,0,1
